spec,class,className,method,message
rule_R18,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_12,CWE327_Use_Broken_Crypto__3DES_12,good,Random() called
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_11,CWE327_Use_Broken_Crypto__DES_11,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_11,CWE328_Reversible_One_Way_Hash__MD2_11,bad,algorithm: MD2
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_16,CWE328_Reversible_One_Way_Hash__MD2_16,bad,algorithm: MD2
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_06,CWE327_Use_Broken_Crypto__3DES_06,bad,algorithm: DESede
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_16,CWE328_Reversible_One_Way_Hash__SHA1_16,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_09,CWE328_Reversible_One_Way_Hash__SHA1_09,bad,algorithm: SHA1
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_03,CWE327_Use_Broken_Crypto__3DES_03,bad,algorithm: DESede
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_08,CWE327_Use_Broken_Crypto__DES_08,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_06,CWE328_Reversible_One_Way_Hash__MD2_06,bad,algorithm: MD2
rule_R18,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_12,CWE328_Reversible_One_Way_Hash__SHA1_12,good,Random() called
rule_R18,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_12,CWE328_Reversible_One_Way_Hash__MD2_12,bad,Random() called
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_17,CWE328_Reversible_One_Way_Hash__MD2_17,bad,algorithm: MD2
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_12,CWE328_Reversible_One_Way_Hash__MD2_12,bad,algorithm: MD2
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_07,CWE328_Reversible_One_Way_Hash__MD2_07,bad,algorithm: MD2
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_10,CWE327_Use_Broken_Crypto__3DES_10,bad,algorithm: DESede
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_03,CWE327_Use_Broken_Crypto__DES_03,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_02,CWE328_Reversible_One_Way_Hash__MD5_02,bad,algorithm: MD5
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_15,CWE328_Reversible_One_Way_Hash__SHA1_15,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_10,CWE328_Reversible_One_Way_Hash__SHA1_10,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_14,CWE328_Reversible_One_Way_Hash__SHA1_14,bad,algorithm: SHA1
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_15,CWE327_Use_Broken_Crypto__3DES_15,bad,algorithm: DESede
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_04,CWE327_Use_Broken_Crypto__3DES_04,bad,algorithm: DESede
rule_R18,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_12,CWE327_Use_Broken_Crypto__3DES_12,bad,Random() called
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_10,CWE327_Use_Broken_Crypto__DES_10,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_04,CWE328_Reversible_One_Way_Hash__MD5_04,bad,algorithm: MD5
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_11,CWE328_Reversible_One_Way_Hash__SHA1_11,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_07,CWE328_Reversible_One_Way_Hash__MD5_07,bad,algorithm: MD5
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_01,CWE327_Use_Broken_Crypto__3DES_01,bad,algorithm: DESede
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_14,CWE327_Use_Broken_Crypto__DES_14,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_03,CWE328_Reversible_One_Way_Hash__MD5_03,bad,algorithm: MD5
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_15,CWE328_Reversible_One_Way_Hash__MD2_15,bad,algorithm: MD2
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_14,CWE328_Reversible_One_Way_Hash__MD5_14,bad,algorithm: MD5
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_13,CWE328_Reversible_One_Way_Hash__MD5_13,bad,algorithm: MD5
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_09,CWE327_Use_Broken_Crypto__DES_09,bad,algorithm: DES
rule_R18,testcases.CWE325_Missing_Required_Cryptographic_Step.CWE325_Missing_Required_Cryptographic_Step__MessageDigest_update_12,CWE325_Missing_Required_Cryptographic_Step__MessageDigest_update_12,good,Random() called
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_08,CWE328_Reversible_One_Way_Hash__SHA1_08,bad,algorithm: SHA1
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_01,CWE327_Use_Broken_Crypto__DES_01,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_03,CWE328_Reversible_One_Way_Hash__MD2_03,bad,algorithm: MD2
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_17,CWE328_Reversible_One_Way_Hash__MD5_17,bad,algorithm: MD5
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_06,CWE328_Reversible_One_Way_Hash__SHA1_06,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_10,CWE328_Reversible_One_Way_Hash__MD5_10,bad,algorithm: MD5
rule_R18,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_12,CWE328_Reversible_One_Way_Hash__SHA1_12,bad,Random() called
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_04,CWE327_Use_Broken_Crypto__DES_04,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_13,CWE328_Reversible_One_Way_Hash__MD2_13,bad,algorithm: MD2
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_04,CWE328_Reversible_One_Way_Hash__MD2_04,bad,algorithm: MD2
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_08,CWE327_Use_Broken_Crypto__3DES_08,bad,algorithm: DESede
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_13,CWE328_Reversible_One_Way_Hash__SHA1_13,bad,algorithm: SHA1
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_13,CWE327_Use_Broken_Crypto__3DES_13,bad,algorithm: DESede
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_14,CWE327_Use_Broken_Crypto__3DES_14,bad,algorithm: DESede
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_09,CWE328_Reversible_One_Way_Hash__MD2_09,bad,algorithm: MD2
rule_R22,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_04,CWE327_Use_Broken_Crypto__DES_04,good,protocol: http://null.oracle.com/
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_02,CWE327_Use_Broken_Crypto__DES_02,bad,algorithm: DES
rule_R18,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_12,CWE328_Reversible_One_Way_Hash__MD2_12,good,Random() called
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_16,CWE327_Use_Broken_Crypto__3DES_16,bad,algorithm: DESede
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_01,CWE328_Reversible_One_Way_Hash__MD2_01,bad,algorithm: MD2
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_11,CWE327_Use_Broken_Crypto__3DES_11,bad,algorithm: DESede
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_07,CWE328_Reversible_One_Way_Hash__SHA1_07,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_05,CWE328_Reversible_One_Way_Hash__MD5_05,bad,algorithm: MD5
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_17,CWE328_Reversible_One_Way_Hash__SHA1_17,bad,algorithm: SHA1
rule_R18,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_12,CWE328_Reversible_One_Way_Hash__MD5_12,good,Random() called
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_03,CWE328_Reversible_One_Way_Hash__SHA1_03,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_10,CWE328_Reversible_One_Way_Hash__MD2_10,bad,algorithm: MD2
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_12,CWE328_Reversible_One_Way_Hash__MD5_12,bad,algorithm: MD5
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_08,CWE328_Reversible_One_Way_Hash__MD5_08,bad,algorithm: MD5
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_07,CWE327_Use_Broken_Crypto__3DES_07,bad,algorithm: DESede
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_07,CWE327_Use_Broken_Crypto__DES_07,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_09,CWE328_Reversible_One_Way_Hash__MD5_09,bad,algorithm: MD5
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_16,CWE328_Reversible_One_Way_Hash__MD5_16,bad,algorithm: MD5
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_06,CWE327_Use_Broken_Crypto__DES_06,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_01,CWE328_Reversible_One_Way_Hash__SHA1_01,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_08,CWE328_Reversible_One_Way_Hash__MD2_08,bad,algorithm: MD2
rule_R18,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_12,CWE327_Use_Broken_Crypto__DES_12,good,Random() called
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_02,CWE327_Use_Broken_Crypto__3DES_02,bad,algorithm: DESede
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_04,CWE328_Reversible_One_Way_Hash__SHA1_04,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_01,CWE328_Reversible_One_Way_Hash__MD5_01,bad,algorithm: MD5
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_15,CWE327_Use_Broken_Crypto__DES_15,bad,algorithm: DES
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_17,CWE327_Use_Broken_Crypto__3DES_17,bad,algorithm: DESede
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_15,CWE328_Reversible_One_Way_Hash__MD5_15,bad,algorithm: MD5
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_17,CWE327_Use_Broken_Crypto__DES_17,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_11,CWE328_Reversible_One_Way_Hash__MD5_11,bad,algorithm: MD5
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_02,CWE328_Reversible_One_Way_Hash__MD2_02,bad,algorithm: MD2
