GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner..anonfun.start.new Serializable() {...},41,0,8,0,4,0,7,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.isUseLocalNodeSSLConfig.new Serializable() {...},8,0,0,0,1,0,3,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerArguments,740,0,108,0,83,0,76,0,22,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.1..anonfun.apply.mcV.sp.8..anonfun.apply.new Serializable() {...},34,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverWrapper.,454,0,16,0,40,0,30,0,22,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..tryRegisterAllMasters.1..anon.1..anonfun.run.new Serializable() {...},38,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..tryRegisterAllMasters.1..anon.1..anonfun.run.new Serializable() {...},23,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anonfun.downloadUserJar.new Serializable() {...},51,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.new Serializable() {...},82,0,4,0,8,0,4,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anon.new Runnable() {...},17,0,2,0,3,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anon.new Runnable() {...},17,0,2,0,3,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anon.new Runnable() {...},17,0,2,0,3,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerWatcher..anonfun.onNetworkError.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerWatcher..anonfun.onNetworkError.new Serializable() {...},38,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..maybeCleanupApplication.1..anonfun.apply.5..anonfun.apply.new Serializable() {...},51,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,ProcessBuilderLike..anon.new ProcessBuilderLike() {...},18,0,0,0,3,0,3,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,CommandUtils.,277,0,6,0,32,0,30,0,27,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerWatcher..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner..anonfun.org.apache.spark.deploy.worker.ExecutorRunner..fetchAndRunExecutor.new Serializable() {...},23,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner..anonfun.org.apache.spark.deploy.worker.ExecutorRunner..fetchAndRunExecutor.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner..anonfun.org.apache.spark.deploy.worker.ExecutorRunner..fetchAndRunExecutor.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},39,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},24,0,6,0,1,0,5,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anon.1..anonfun.run.new Serializable() {...},26,0,2,0,3,0,4,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.10..anonfun.new Serializable() {...},42,0,2,0,7,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anon.4..anonfun.run.new Serializable() {...},25,0,2,0,1,0,4,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},16,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},25,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},16,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},41,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},59,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},18,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},21,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},18,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.new Serializable() {...},924,0,80,0,98,0,43,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,DriverWrapper,70,0,0,0,0,0,17,0,17,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.trimFinishedExecutorsIfNecessary.new Serializable() {...},31,0,4,0,2,0,4,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.1..anonfun.apply.new Serializable() {...},17,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.2..anonfun.apply.new Serializable() {...},12,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.2..anonfun.apply.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.2..anonfun.apply.new Serializable() {...},13,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.2..anonfun.apply.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner..anonfun.org.apache.spark.deploy.worker.ExecutorRunner..killProcess.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner..anonfun.org.apache.spark.deploy.worker.ExecutorRunner..killProcess.new Serializable() {...},23,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner..anonfun.org.apache.spark.deploy.worker.ExecutorRunner..killProcess.new Serializable() {...},10,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anon.3..anonfun.run.new Serializable() {...},21,0,2,0,1,0,4,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..maybeCleanupApplication.1..anonfun.apply.1..anonfun.apply.mcV.sp.new Serializable() {...},10,0,0,0,2,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.onStop.new Serializable() {...},6,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.onStop.new Serializable() {...},6,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anon.6..anonfun.run.new Serializable() {...},20,0,2,0,1,0,4,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receiveAndReply.new Serializable() {...},94,0,6,0,6,0,6,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.onDisconnected.new Serializable() {...},24,0,6,0,1,0,5,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anon.5..anonfun.run.new Serializable() {...},20,0,2,0,1,0,4,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.onDisconnected.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.onDisconnected.new Serializable() {...},23,0,6,0,1,0,5,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.new Serializable() {...},188,0,18,0,26,0,12,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.1..anonfun.apply.mcV.sp.new Serializable() {...},24,0,2,0,3,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.1..anonfun.apply.mcV.sp.new Serializable() {...},37,0,8,0,5,0,6,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerSource,83,0,0,0,8,0,4,0,4,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.applyOrElse.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner,781,0,22,0,87,0,63,0,52,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.new Serializable() {...},56,0,0,0,3,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.new Serializable() {...},56,0,0,0,3,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.masterDisconnected.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.createWorkDir.new Serializable() {...},8,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleDriverStateChanged.new Serializable() {...},45,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.createWorkDir.new Serializable() {...},18,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.createWorkDir.new Serializable() {...},21,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleDriverStateChanged.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleDriverStateChanged.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleDriverStateChanged.new Serializable() {...},46,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleDriverStateChanged.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.createWorkDir.new Serializable() {...},21,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,CommandUtils..anonfun.buildProcessBuilder.new Serializable() {...},14,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,CommandUtils..anonfun.buildProcessBuilder.new Serializable() {...},32,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.1..anonfun.apply.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anonfun.apply.mcV.sp.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anonfun.apply.mcV.sp.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anonfun.apply.mcV.sp.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anonfun.apply.mcV.sp.new Serializable() {...},40,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anonfun.apply.mcV.sp.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anon.new Runnable() {...},17,0,2,0,3,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anon.new Runnable() {...},71,0,6,0,8,0,5,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,CommandUtils..anonfun.buildLocalCommand.new Serializable() {...},15,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerWatcher..anonfun.onDisconnected.new Serializable() {...},38,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.onStart.new Serializable() {...},30,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.onStart.new Serializable() {...},51,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.onStart.new Serializable() {...},11,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.onStart.new Serializable() {...},21,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.trimFinishedDriversIfNecessary.new Serializable() {...},31,0,4,0,2,0,4,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..cancelLastRegistrationRetry.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..cancelLastRegistrationRetry.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anon.2..anonfun.run.new Serializable() {...},23,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..reregisterWithMaster.1..anon.2..anonfun.run.new Serializable() {...},38,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..changeMaster.new Serializable() {...},48,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..tryRegisterAllMasters.new Serializable() {...},20,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerWatcher.,10,0,0,0,2,0,3,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anonfun.kill.new Serializable() {...},29,0,4,0,4,0,4,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anonfun.kill.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anonfun.kill.2..anonfun.apply.new Serializable() {...},18,0,0,0,2,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..maybeCleanupApplication.1..anonfun.apply.1..anonfun.apply.mcV.sp.new Serializable() {...},39,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerWatcher..anonfun.receive.new Serializable() {...},30,0,2,0,2,0,4,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,ProcessBuilderLike.,13,0,0,0,2,0,3,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker.,386,0,6,0,38,0,32,0,29,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerWatcher,223,0,16,0,20,0,44,0,36,0
Spark Project Core,org.apache.spark.deploy.worker,DriverWrapper..anonfun.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverWrapper..anonfun.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverWrapper..anonfun.new Serializable() {...},12,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..registerWithMaster.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverWrapper..anonfun.main.new Serializable() {...},34,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner..anon.new Thread() {...},23,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anonfun.runCommandWithRetry.new Serializable() {...},21,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anonfun.runCommandWithRetry.new Serializable() {...},49,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.10..anonfun.11..anonfun.apply.new Serializable() {...},34,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerSource..anon.new Gauge() {...},15,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerSource..anon.new Gauge() {...},15,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerSource..anon.new Gauge() {...},15,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerSource..anon.new Gauge() {...},15,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerSource..anon.new Gauge() {...},16,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..handleRegisterResponse.new Serializable() {...},16,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..handleRegisterResponse.new Serializable() {...},17,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..handleRegisterResponse.new Serializable() {...},18,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..handleRegisterResponse.new Serializable() {...},38,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anonfun.runDriver.new Serializable() {...},25,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anon.1..anonfun.run.1..anonfun.apply.mcV.sp.new Serializable() {...},40,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..tryRegisterAllMasters.1..anon.new Runnable() {...},71,0,6,0,7,0,5,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,CommandUtils,87,0,0,0,0,0,20,0,20,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.main.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..maybeCleanupApplication.1..anonfun.apply.new Serializable() {...},24,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..maybeCleanupApplication.1..anonfun.apply.new Serializable() {...},32,0,2,0,3,0,4,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..sendToMaster.new Serializable() {...},33,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerWatcher..anonfun.onConnected.new Serializable() {...},38,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,CommandUtils..anon.1..anonfun.run.new Serializable() {...},30,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.startExternalShuffleService.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.org.apache.spark.deploy.worker.Worker..maybeCleanupApplication.new Serializable() {...},34,0,2,0,4,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker,1688,0,80,0,239,0,162,0,122,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anon.new Thread() {...},105,0,8,0,16,0,6,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anon.new Sleeper() {...},23,0,2,0,2,0,3,0,2,0
Spark Project Core,org.apache.spark.serializer,KryoSerializerInstance,221,71,15,3,22,18,15,7,7,6
Spark Project Core,org.apache.spark.serializer,DummySerializerInstance,16,11,0,0,4,2,4,2,4,2
Spark Project Core,org.apache.spark.serializer,JavaIterableWrapperSerializer..anonfun.liftedTree1.1.new Serializable() {...},13,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.serializer,Serializer,0,23,0,0,0,5,0,5,0,5
Spark Project Core,org.apache.spark.serializer,SerializationDebugger.ObjectStreamClassMethods,53,0,0,0,7,0,10,0,10,0
Spark Project Core,org.apache.spark.serializer,SerializationDebugger..anonfun.improveException.new Serializable() {...},12,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.serializer,SerializationDebugger..anonfun.improveException.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.serializer,JavaSerializer..anonfun.readExternal.new Serializable() {...},2,27,1,1,0,3,1,3,0,3
Spark Project Core,org.apache.spark.serializer,SerializationDebugger.ObjectStreamClassMethods..anonfun.getSlotDescs.extension.new Serializable() {...},10,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.serializer,SerializationStream,0,25,0,2,0,6,0,5,0,4
Spark Project Core,org.apache.spark.serializer,package.,8,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.serializer,JavaIterableWrapperSerializer,136,3,12,0,6,1,25,1,19,1
Spark Project Core,org.apache.spark.serializer,SerializerManager..anonfun.new Serializable() {...},6,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.serializer,SerializerManager..anonfun.new Serializable() {...},0,6,0,0,0,1,0,2,0,2
Spark Project Core,org.apache.spark.serializer,KryoSerializationStream,10,51,3,3,1,14,3,4,0,4
