spec,cwe,error,class,className,method
KeyGeneratorSpec,327,"First parameter (with value 'Blowfish') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",com.minimals.cipher.secureBlowFish.CipherExample11,CipherExample11,main
KeyGeneratorSpec,327,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",com.minimals.cipher.KeyToAlgoDES.CipherExample10,CipherExample10,main
KeyGeneratorSpec,327,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",com.minimals.cipher.aesGCMNoPaddingReplaceDES.CipherExample02,CipherExample02,runCipher
KeyGeneratorSpec,327,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",com.minimals.cipher.aesStringReplace.CipherExample03,CipherExample03,runCipher
KeyGeneratorSpec,327,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",com.minimals.cipher.baseCaseInterProc.CipherExample05,CipherExample05,runCipher
KeyGeneratorSpec,327,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",com.minimals.cipher.differentCase.CipherExample07,CipherExample07,runCipher
KeyGeneratorSpec,327,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",com.minimals.cipher.stringCaseTransform.CipherExample12,CipherExample12,runCipher
KeyGeneratorSpec,327,"First parameter (with value 'DES') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",com.minimals.cipher.stringReplace.CipherExample13,CipherExample13,runCipher
MessageDigestSpec,328,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",com.minimals.md.baseCase.MD01,MD01,main
MessageDigestSpec,328,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",com.minimals.md.baseCaseVariable.MD02,MD02,main
MessageDigestSpec,328,"First parameter (with value 'MD5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",com.minimals.md.interprocedureCase.MD05,MD05,main
MessageDigestSpec,328,"First parameter (with value 'md5') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",com.minimals.md.differentCase.MD04,MD04,main
SSLContextSpec,327,"First parameter (with value 'SSL') should be any of {TLSv1.2, TLSv1.3}. ConstraintError violating CrySL rule for javax.net.ssl.SSLContext.",com.minimals.ssl.context.baseCase.ContextOfSSL,ContextOfSSL,main
SSLContextSpec,327,Operation on object of type javax.net.ssl.SSLContext object not completed. Expected call to init. IncompleteOperationError violating CrySL rule for javax.net.ssl.SSLContext.,com.minimals.ssl.context.baseCase.ContextOfSSL,ContextOfSSL,main
SecureRandomSpec,338,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for java.security.SecureRandom.,com.minimals.random.basecase.SecureRand01,SecureRand01,main
SecureRandomSpec,338,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for java.security.SecureRandom.,com.minimals.random.basecase_getinstance.SecureRand02,SecureRand02,main
SecureRandomSpec,338,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for java.security.SecureRandom.,com.minimals.random.basecase_seedconstructor.SecureRand03,SecureRand03,main
