spec,cwe,error,class,className,method
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00685,BenchmarkTest00685,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00853,BenchmarkTest00853,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest01015,BenchmarkTest01015,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest01099,BenchmarkTest01099,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest01317,BenchmarkTest01317,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest01318,BenchmarkTest01318,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest01480,BenchmarkTest01480,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest01634,BenchmarkTest01634,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest01822,BenchmarkTest01822,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest01823,BenchmarkTest01823,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest02017,BenchmarkTest02017,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest02018,BenchmarkTest02018,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest02019,BenchmarkTest02019,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest02458,BenchmarkTest02458,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest02658,BenchmarkTest02658,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00005,BenchmarkTest00005,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00020,BenchmarkTest00020,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00050,BenchmarkTest00050,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00055,BenchmarkTest00055,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00056,BenchmarkTest00056,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00057,BenchmarkTest00057,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00123,BenchmarkTest00123,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00124,BenchmarkTest00124,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00125,BenchmarkTest00125,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00208,BenchmarkTest00208,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00210,BenchmarkTest00210,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00256,BenchmarkTest00256,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00257,BenchmarkTest00257,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00258,BenchmarkTest00258,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00445,BenchmarkTest00445,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00446,BenchmarkTest00446,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00522,BenchmarkTest00522,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00614,BenchmarkTest00614,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00615,BenchmarkTest00615,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00688,BenchmarkTest00688,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00691,BenchmarkTest00691,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00692,BenchmarkTest00692,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00693,BenchmarkTest00693,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00779,BenchmarkTest00779,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00781,BenchmarkTest00781,doPost
