spec,class,className,method,location,error,expecting
KeyPairSpec,main.java.org.cambench.cap.interprocedural3.truepositive.smallkeysize.CorrectedKeySize,CorrectedKeySize,method2,CorrectedKeySize.java:45,InvalidSequenceOfMethodCalls,unknown
PBEParameterSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.pbeparameters.PBEParameters2,PBEParameters2,main,PBEParameters2.java:32,UnsafeAlgorithm,expecting at least 1000 iterations and a randomized salt.
PBEParameterSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.pbeparameters.PBEParameters2,PBEParameters2,main,PBEParameters2.java:32,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:36,InvalidKeySize,invalid key size for algorithm RSA.
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:36,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:41,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:42,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.brokenhash.BrokenHash2,BrokenHash2,main,BrokenHash2.java:38,UnsafeAlgorithm,"expecting one of {SHA-256, SHA-384, SHA-512} but found SHA-1."
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.brokenhash.BrokenHash2,BrokenHash2,main,BrokenHash2.java:38,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.brokenhash.BrokenHash2,BrokenHash2,main,BrokenHash2.java:39,InvalidSequenceOfMethodCalls,unknown
PBEParameterSpec,main.java.org.cambench.cap.interprocedural2.truepositive.pbeparameters.PBEParameters1,PBEParameters1,method1,PBEParameters1.java:30,UnsafeAlgorithm,expecting at least 1000 iterations and a randomized salt.
PBEParameterSpec,main.java.org.cambench.cap.interprocedural2.truepositive.pbeparameters.PBEParameters1,PBEParameters1,method1,PBEParameters1.java:30,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.fieldobject.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:38,InvalidKeySize,invalid key size for algorithm RSA.
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.fieldobject.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:38,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.fieldobject.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:39,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.mixedsensitivities.fieldobject.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:41,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.insecurerandom.CorrectedRandom,CorrectedRandom,main,CorrectedRandom.java:41,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.insecurerandom.CorrectedRandom,CorrectedRandom,main,CorrectedRandom.java:41,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.contextsensitivity.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:40,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.contextsensitivity.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:40,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth2.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:42,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth2.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:42,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.objectsensitivity.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:40,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.objectsensitivity.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:40,InvalidSequenceOfMethodCalls,unknown
KeyGeneratorSpec,main.java.org.cambench.cap.basic.brokencrypto.BrokenCrypto1,BrokenCrypto1,main,BrokenCrypto1.java:29,UnsafeAlgorithm,"expecting one ofAES,HmacSHA256,HmacSHA384,HmacSHA512 but found DES."
KeyGeneratorSpec,main.java.org.cambench.cap.basic.brokencrypto.BrokenCrypto1,BrokenCrypto1,main,BrokenCrypto1.java:29,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.contextsensitivity.advanced.callsites5.falsepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:40,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.contextflow.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:29,UnsafeAlgorithm,"expecting one of {SHA-256, SHA-384, SHA-512} but found MD5."
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.contextflow.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:29,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.contextflow.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:30,InvalidSequenceOfMethodCalls,unknown
PBEParameterSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.pbeparameters.PBEParameters1,PBEParameters1,main,PBEParameters1.java:34,UnsafeAlgorithm,expecting at least 1000 iterations and a randomized salt.
PBEParameterSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.pbeparameters.PBEParameters1,PBEParameters1,main,PBEParameters1.java:34,InvalidSequenceOfMethodCalls,unknown
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.inter2field.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,method1,BrokenCrypto1.java:37,UnsafeAlgorithm,"expecting one ofAES,HmacSHA256,HmacSHA384,HmacSHA512 but found DES."
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.inter2field.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,method1,BrokenCrypto1.java:37,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:36,InvalidKeySize,invalid key size for algorithm RSA.
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:36,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:37,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:39,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:41,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:41,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth2.truepositive.smallkeysize.CorrectedKeySize,CorrectedKeySize,main,CorrectedKeySize.java:38,InvalidSequenceOfMethodCalls,unknown
PBEParameterSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth3.truepositive.pbeparameters.PBEParameters1,PBEParameters1,main,PBEParameters1.java:35,UnsafeAlgorithm,expecting at least 1000 iterations and a randomized salt.
PBEParameterSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth3.truepositive.pbeparameters.PBEParameters1,PBEParameters1,main,PBEParameters1.java:35,InvalidSequenceOfMethodCalls,unknown
KeyGeneratorSpec,main.java.org.cambench.cap.contextsensitivity.advanced.callsites5.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,main,BrokenCrypto1.java:36,UnsafeAlgorithm,"expecting one ofAES,HmacSHA256,HmacSHA384,HmacSHA512 but found DES."
KeyGeneratorSpec,main.java.org.cambench.cap.contextsensitivity.advanced.callsites5.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,main,BrokenCrypto1.java:36,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.objectsensitivity.advanced.multipleobjects.truepositive.smallkeysize.CorrectedKeySize,CorrectedKeySize,main,CorrectedKeySize.java:36,InvalidSequenceOfMethodCalls,unknown
CipherSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:40,UnsafeAlgorithm,"expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found AES/ECB/PKCS5Padding."
CipherSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:40,InvalidSequenceOfMethodCalls,unknown
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.inter2path.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,method1,BrokenCrypto1.java:39,UnsafeAlgorithm,"expecting one ofAES,HmacSHA256,HmacSHA384,HmacSHA512 but found DES."
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.inter2path.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,method1,BrokenCrypto1.java:39,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.interprocedural3.truepositive.insecurerandom.InsecureRandom1,InsecureRandom1,method2,InsecureRandom1.java:46,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.interprocedural3.truepositive.insecurerandom.InsecureRandom1,InsecureRandom1,method2,InsecureRandom1.java:46,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth3.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:32,UnsafeAlgorithm,"expecting one of {SHA-256, SHA-384, SHA-512} but found MD5."
MessageDigestSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth3.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:32,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth3.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:33,InvalidSequenceOfMethodCalls,unknown
KeyGeneratorSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth2.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,main,BrokenCrypto1.java:34,UnsafeAlgorithm,"expecting one ofAES,HmacSHA256,HmacSHA384,HmacSHA512 but found DES."
KeyGeneratorSpec,main.java.org.cambench.cap.fieldsensitivity.advanced.fielddepth2.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,main,BrokenCrypto1.java:34,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.fieldobject.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:33,UnsafeAlgorithm,"expecting one of {SHA-256, SHA-384, SHA-512} but found MD5."
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.fieldobject.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:33,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.fieldobject.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:34,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.pathsensitivity.falsepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:39,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.smallkeysize.CorrectedKeySize,CorrectedKeySize,main,CorrectedKeySize.java:37,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.insecurerandom.InsecureRandom1,InsecureRandom1,main,InsecureRandom1.java:50,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.insecurerandom.InsecureRandom1,InsecureRandom1,main,InsecureRandom1.java:50,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.objectsensitivity.falsepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:37,InvalidSequenceOfMethodCalls,unknown
SecureRandomSpec,main.java.org.cambench.cap.basic.insecurerandom.InsecureRandom2,InsecureRandom2,main,InsecureRandom2.java:36,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.pathsensitivity.advanced.pathdepth2.falsepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:46,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.contextsensitivity.advanced.callsites5.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:32,UnsafeAlgorithm,"expecting one of {SHA-256, SHA-384, SHA-512} but found SHA-1."
MessageDigestSpec,main.java.org.cambench.cap.contextsensitivity.advanced.callsites5.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:32,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.contextsensitivity.advanced.callsites5.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:33,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.brokenhash.BrokenHash1,BrokenHash1,method1,BrokenHash1.java:33,UnsafeAlgorithm,"expecting one of {SHA-256, SHA-384, SHA-512} but found MD5."
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.brokenhash.BrokenHash1,BrokenHash1,method1,BrokenHash1.java:33,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.brokenhash.BrokenHash1,BrokenHash1,method1,BrokenHash1.java:34,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.objectsensitivity.advanced.multipleobjects.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:37,InvalidKeySize,invalid key size for algorithm RSA.
KeyPairGeneratorSpec,main.java.org.cambench.cap.objectsensitivity.advanced.multipleobjects.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:37,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.objectsensitivity.advanced.multipleobjects.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:38,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.objectsensitivity.advanced.multipleobjects.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:40,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.contextsensitivity.truepositive.insecurerandom.CorrectedRandom,CorrectedRandom,main,CorrectedRandom.java:39,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.contextsensitivity.truepositive.insecurerandom.CorrectedRandom,CorrectedRandom,main,CorrectedRandom.java:39,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.inter2context.truepositive.brokenhash.BrokenHash1,BrokenHash1,method1,BrokenHash1.java:36,UnsafeAlgorithm,"expecting one of {SHA-256, SHA-384, SHA-512} but found MD5."
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.inter2context.truepositive.brokenhash.BrokenHash1,BrokenHash1,method1,BrokenHash1.java:36,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.mixedsensitivities.inter2context.truepositive.brokenhash.BrokenHash1,BrokenHash1,method1,BrokenHash1.java:37,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.mixedsensitivities.inter2object.truepositive.insecurerandom.CorrectedRandom,CorrectedRandom,method1,CorrectedRandom.java:44,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.mixedsensitivities.inter2object.truepositive.insecurerandom.CorrectedRandom,CorrectedRandom,method1,CorrectedRandom.java:44,InvalidSequenceOfMethodCalls,unknown
CipherSpec,main.java.org.cambench.cap.mixedsensitivities.inter2path.truepositive.ecbmode.EcbMode1,EcbMode1,method1,EcbMode1.java:39,UnsafeAlgorithm,"expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found AES/ECB/PKCS5Padding."
CipherSpec,main.java.org.cambench.cap.mixedsensitivities.inter2path.truepositive.ecbmode.EcbMode1,EcbMode1,method1,EcbMode1.java:39,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.smallkeysize.SmallKeySize2,SmallKeySize2,method1,SmallKeySize2.java:38,InvalidKeySize,invalid key size for algorithm RSA.
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.smallkeysize.SmallKeySize2,SmallKeySize2,method1,SmallKeySize2.java:38,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.smallkeysize.SmallKeySize2,SmallKeySize2,method1,SmallKeySize2.java:39,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.smallkeysize.SmallKeySize2,SmallKeySize2,method1,SmallKeySize2.java:41,InvalidSequenceOfMethodCalls,unknown
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.brokencrypto.BrokenCrypto2,BrokenCrypto2,method1,BrokenCrypto2.java:36,UnsafeAlgorithm,"expecting one ofAES,HmacSHA256,HmacSHA384,HmacSHA512 but found Blowfish."
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.brokencrypto.BrokenCrypto2,BrokenCrypto2,method1,BrokenCrypto2.java:36,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.contextpath.truepositive.smallkeysize.SmallKeySize2,SmallKeySize2,main,SmallKeySize2.java:42,InvalidKeySize,invalid key size for algorithm RSA.
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.contextpath.truepositive.smallkeysize.SmallKeySize2,SmallKeySize2,main,SmallKeySize2.java:42,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.contextpath.truepositive.smallkeysize.SmallKeySize2,SmallKeySize2,main,SmallKeySize2.java:43,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.mixedsensitivities.contextpath.truepositive.smallkeysize.SmallKeySize2,SmallKeySize2,main,SmallKeySize2.java:45,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.pathsensitivity.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:35,InvalidKeySize,invalid key size for algorithm RSA.
KeyPairGeneratorSpec,main.java.org.cambench.cap.pathsensitivity.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:35,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.pathsensitivity.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:38,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.pathsensitivity.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:39,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.flowsensitivity.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:32,InvalidKeySize,invalid key size for algorithm RSA.
KeyPairGeneratorSpec,main.java.org.cambench.cap.flowsensitivity.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:32,InvalidSequenceOfMethodCalls,unknown
KeyPairGeneratorSpec,main.java.org.cambench.cap.flowsensitivity.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:33,InvalidSequenceOfMethodCalls,unknown
KeyPairSpec,main.java.org.cambench.cap.flowsensitivity.truepositive.smallkeysize.SmallKeySize1,SmallKeySize1,main,SmallKeySize1.java:36,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:30,UnsafeAlgorithm,"expecting one of {SHA-256, SHA-384, SHA-512} but found MD5."
MessageDigestSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:30,InvalidSequenceOfMethodCalls,unknown
MessageDigestSpec,main.java.org.cambench.cap.fieldsensitivity.truepositive.brokenhash.BrokenHash1,BrokenHash1,main,BrokenHash1.java:31,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.objectsensitivity.advanced.multipleobjects.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:43,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.objectsensitivity.advanced.multipleobjects.truepositive.staticiv.StaticIv1,StaticIv1,main,StaticIv1.java:43,InvalidSequenceOfMethodCalls,unknown
